Name,Ticker,Layoff,PctLayoff,DateLayoff,Industry,Headquarters,FinancingStage
Akamai Technologies,AKAM,290,0.03,5/9/2023,Cloud,"Cambridge, MA",Post-IPO
Outbrain,OB,90,0.1,6/1/2023,Business,"New York City, NY",Post-IPO
Innovid,CTV,40,0.1,1/23/2023,Advertising,"New York City, NY",Post-IPO
Virgin Galactic,SPCE,185,0.18,11/8/2023,Hardware,"Mojave, CA",Unknown
Planet,PL,117,0.1,8/1/2023,Hardware,"San Francisco, CA",Acquired
Sarcos,STRC,75,0.25,7/17/2023,Hardware,"Salt Lake City, UT",Post-IPO
AppHarvest,APPH,200,1,7/27/2023,Agriculture,"Morehead, KY",Post-IPO
Intel,INTC,311,NA,12/21/2023,AI,"Santa Clara, CA",Post-IPO
UiPath,PATH,241,0.06,11/15/2022,AI,"New York City, NY",Post-IPO
UiPath,PATH,210,0.05,6/27/2022,AI,"New York City, NY",Post-IPO
iRobot,IRBT,350,0.31,1/29/2024,Hardware,"Bedford, MA",Acquired
Similarweb,SMWB,120,0.1,11/16/2022,AI,"New York City, NY",Post-IPO
Sema4,WGS,500,NA,11/14/2022,AI,"Stamford, CT",Post-IPO
Sema4,WGS,250,0.13,8/15/2022,AI,"Stamford, CT",Post-IPO
iRobot,IRBT,140,0.1,8/5/2022,Hardware,"Bedford, MA",Acquired
Informatica,INFA,545,0.1,11/1/2023,Data,"Redwood City, CA",Post-IPO
Streamline Health,STRM,26,0.24,10/16/2023,Data,"Atlanta, GA",Unknown
Splunk,SPLK,500,0.07,11/1/2023,Data,"San Francisco, CA",Post-IPO
Splunk,SPLK,325,0.04,2/1/2023,Data,"San Francisco, CA",Post-IPO
Qualtrics,XM,780,0.14,10/4/2023,Software,"Seattle, WA",Acquired
Vroom,VRM,275,NA,1/18/2023,Auto,"New York City, NY",Post-IPO
Vroom,VRM,337,NA,8/8/2022,Auto,"New York City, NY",Post-IPO
Vroom,VRM,270,0.14,5/9/2022,Auto,"New York City, NY",Post-IPO
TuSimple,TSPH,150,0.75,12/4/2023,Electric Vehicle (EV),"San Diego, CA",Post-IPO
Embark Trucks,EMBK,230,0.7,3/3/2023,Auto,"San Francisco, CA",Post-IPO
Quanergy Systems,QNGY,72,NA,12/14/2022,Auto,"Sunnyvale, CA",Post-IPO
AEye,AEYE,46,0.33,3/28/2023,Auto,"Dublin, CA",Post-IPO
Capital One,COF,1100,NA,1/19/2023,Finance,"McLean, VA",Post-IPO
First Citizens Bank,FCNCA,500,0.03,5/24/2023,Finance,"Raleigh, NC",Unknown
Enovix,ENVX,185,NA,10/5/2023,Hardware,"Fremont, CA",Post-IPO
Informatica,INFA,450,0.07,1/10/2023,Data,"Redwood City, CA",Post-IPO
Informatica,INFA,545,0.1,11/1/2023,Data,"Redwood City, CA",Post-IPO
Alphabet,GOOG,40,NA,10/18/2023,Software,"Mountain View, CA",Post-IPO
Alphabet,GOOG,12000,NA,1/20/2023,Software,"Mountain View, CA",Post-IPO
Illumina,ILMN,111,NA,2/1/2024,Health,"San Diego, CA",Post-IPO
Nevro,NVRO,63,0.05,1/9/2024,Biotech,"Menlo Park, CA",Post-IPO
NanoString Technologies,OF1,50,0.09,1/6/2024,Biotech,"Seattle, WA",Post-IPO
Crispr Therapeutics,CRSP,50,0.1,11/22/2023,Biotech,"Cambridge, MA",Unknown
PhenomeX,CELL,208,NA,10/16/2023,Biotech,"Emeryville, CA",Unknown
2seventy bio,TSVT,176,0.4,9/12/2023,Biotech,"Cambridge, MA",Unknown
Absci,ABSI,30,0.15,9/5/2023,Biotech,"Vancouver, WA",Post-IPO
Sage Therapeutics,SAGE,188,0.4,8/31/2023,Biotech,"Cambridge, MA",Post-IPO
amyris,AMRSQ,260,NA,8/11/2023,Biotech,"Emeryville, CA",Series B
Emergent BioSolutions,EBS,400,NA,8/8/2023,Biotech,"Gaithersburg, MD",Unknown
Homology,FIXX,60,NA,7/28/2023,Biotech,"Boston, MA",Post-IPO
FibroGen,FGEN,104,0.32,7/20/2023,Biotech,"San Francisco, CA",Unknown
Amyris Inc.,AMRSQ,148,NA,6/25/2023,Biotech,"Emeryville, CA",Series B
Foxo Technologies,FOXO,7,NA,7/21/2023,Biotech,"Minneapolis, MN",Unknown
Foundation Medicine,FMI,135,NA,4/4/2023,Biotech,"Cambridge, MA",Acquired
Leafly,LFLY,40,0.21,3/16/2023,Health,"Seattle, WA",Post-IPO
Leafly,LFLY,56,0.21,10/18/2022,Health,"Seattle, WA",Post-IPO
