"company","layoff_number","layoff_percent","announcement_date","industry","headquarters","financing_stage","source","notes","City"
"Vice Media",NA,NA,"2/22/2024","Media","Brooklyn, NY","Unknown","Business Insider",NA,"Brooklyn"
"Rivian",NA,0.1,"2/21/2024","Electric Vehicle (EV)","Plymouth, MI","Post-IPO","TechCrunch",NA,"Plymouth"
"Affirm",60,NA,"2/21/2024","Finance","San Francisco, CA","Post-IPO","Bnn","The layoff affected workers in Pittsburgh.","San Francisco"
"BuzzFeed",NA,0.16,"2/21/2024","Media","New York City, NY","Post-IPO","Variety",NA,"New York City"
"Meati",NA,0.3,"2/20/2024","Food","Boulder, CO","Series C","TechCrunch",NA,"Boulder"
"Sonder",106,0.17,"2/20/2024","Services","San Francisco, CA","Post-IPO","Skift","The layoffs are scheduled to be completed by March 31, 2024.","San Francisco"
"Gro Intelligence",20,0.1,"2/15/2024","Food","New York City, NY","Series B","AgFunderNews",NA,"New York City"
"CodeSee",NA,1,"2/15/2024","Software","San Francisco, CA","Seed","LinkedIn",NA,"San Francisco"
"Toast",550,0.1,"2/15/2024","Business","Boston, MA","Post-IPO","Bloomberg",NA,"Boston"
"Cisco",NA,0.05,"2/14/2024","Business","San Jose, CA","Post-IPO","CNBC","This is a global cut. It's unclear how many U.S. workers are affected.","San Jose"
"Away",NA,25,"2/14/2024","Business","New York City, NY","Series D","Inc.",NA,"New York City"
"Upside Foods",16,NA,"2/14/2024","Food","Berkeley, CA","Series C","Wired",NA,"Berkeley"
"Paramount Global",800,0.03,"2/13/2024","Logistics","La Mirada, CA","Unknown","The Information",NA,"La Mirada"
"Instacart",250,0.07,"2/13/2024","Services","San Francisco, CA","Unknown","CNBC","It's unclear how many U.S. workers are affected.","San Francisco"
"Redesign Health",77,NA,"2/13/2024","Health","New York City, NY","Series C","Fierce Healthcare",NA,"New York City"
"Mozilla",60,0.05,"2/13/2024","Telecommunication","Mountain View, CA","Unknown","Bloomberg",NA,"Mountain View"
"Riskified",40,0.06,"2/13/2024","Business","New York City, NY","Post-IPO","Globes",NA,"New York City"
"May Mobility",NA,0.13,"2/15/2023","Travel","Ann Arbor, MI","Series D","The Detroit News",NA,"Ann Arbor"
"Journera",NA,1,"2/8/2024","Travel","Chicago, IL","Series B","PhocusWire",NA,"Chicago"
"Getaround",NA,0.3,"2/8/2024","Travel","San Francisco, CA","Post-IPO","TechCrunch",NA,"San Francisco"
"Pure Storage",275,0.04,"2/8/2024","Cloud","Santa Clara, CA","Post-IPO","Blocks & Files","It's unclear how many U.S. workers were affected.","Santa Clara"
"Grammarly",230,NA,"2/7/2024","AI","San Francisco, CA","Unknown","Elbuz","It's unclear how many U.S. workers were affected.","San Francisco"
"Fireblocks",20,0.03,"2/7/2024","Cryptocurrency","New York City, NY","Series E","Calcalist","It's unclear how many U.S. workers were affected.","New York City"
"Tenable",NA,0.05,"2/7/2024","Cybersecurity","Columbia, MD","Post-IPO","Bnn",NA,"Columbia"
"DocuSign",440,0.06,"2/6/2024","Services","San Francisco, CA","Post-IPO","CNBC",NA,"San Francisco"
"Amazon",400,NA,"2/6/2024","Business","Seattle, WA","Post-IPO","Business Insider",NA,"Seattle"
"Zwift",NA,NA,"2/5/2024","Fitness","Long Beach, CA","Series C","Zwift Forums",NA,"Long Beach"
"Nomad Health",NA,NA,"2/5/2024","Health","New York City, NY","Unknown","Business Insider",NA,"New York City"
"Meetup",NA,NA,"2/5/2024","Social Related","New York City, NY","Acquired","Community Matters",NA,"New York City"
"Astarte Medical",NA,1,"2/5/2024","Health","Yardley, PA","Series A","Business Insider",NA,"Yardley"
"Impact.com",40,0.03,"2/5/2024","Business","Santa Barbara, CA","Private Equity","AdNews","It's unclear how many U.S. workers were affected.","Santa Barbara"
"BillGO",80,NA,"2/5/2024","Finance","Fort Collins, CO","Series B","KFKA",NA,"Fort Collins"
"Drizly",168,1,"2/5/2024","Business","Boston, MA","Acquired","Boston.com",NA,"Boston"
"Snap",500,0.1,"2/5/2024","Social Related","Venice, CA","Post-IPO","CNBC","This is a global cut. It's unclear how many U.S. workers were affected.","Venice"
"Cue Health",209,0.3,"2/2/2024","Health","San Diego, CA","Post-IPO","The San Diego Union-Tribune","This is a global cut of 245 employees.","San Diego"
"Zoom",150,0.02,"2/1/2024","Telecommunication","San Jose, CA","Post-IPO","CNBC",NA,"San Jose"
"Okta",400,0.07,"2/1/2024","Business","San Francisco, CA","Post-IPO","CNBC",NA,"San Francisco"
"Indigo",NA,NA,"2/1/2024","Agriculture","Boston, MA","Series F","Boston Business Journal",NA,"Boston"
"Illumina",111,NA,"2/1/2024","Biotech","San Diego, CA","Post-IPO","The San Diego Union-Tribune","The layoff will take effect on March 12, 2024.","San Diego"
"The Messenger",300,1,"1/31/2024","Media","West Palm Beach, FL","Unknown","NBC News","The total layoffs number is an estimate based on how many people the publication is believed to have hired since launch.","West Palm Beach"
"Thinx",95,NA,"1/31/2024","Business","New York City, NY","Acquired","Modern Retail",NA,"New York City"
"Proofpoint",260,0.06,"1/31/2024","Cybersecurity","Sunnyvale, CA","Acquired","Calcalist","This is a global cut of 280 employees.","Sunnyvale"
"PayPal",NA,0.09,"1/30/2024","Finance","San Jose, CA","Post-IPO","Bloomberg",NA,"San Jose"
"Aurora Solar",500,0.2,"1/30/2024","Software","San Francisco, CA","Series D","TechCrunch",NA,"San Francisco"
"Block",NA,0.1,"1/30/2024","Finance","Oakland, CA","Post-IPO","Business Insider","The cuts were at Cash App, Foundational and Square. It's uncler how many U.S. workers were affected.","Oakland"
"Noom",NA,NA,"1/30/2024","Fitness","New York City, NY","Series F","Endpoints News",NA,"New York City"
"iRobot",350,0.31,"1/29/2024","AI","Bedford, MA","Post-IPO","CNBC",NA,"Bedford"
"Productboard",NA,NA,"1/26/2024","Consumer","San Francisco, CA","Series D","Business Insider",NA,"San Francisco"
"TechCrunch",8,NA,"1/20/2024","Media","San Francisco, CA","Acquired","Adweek",NA,"San Francisco"
"DispatchHealth",88,NA,"1/19/2024","Health","Denver, CO","Series E","Home Health Care News",NA,"Denver"
"Flexport",520,0.2,"1/26/2024","Logistics","San Francisco, CA","Series E","The Information","The estimated number of cuts is based on Flexport's previously reported headcount figure of 2,600 in October 2023.","San Francisco"
"Salesforce",700,0.01,"1/26/2024","Business","San Francisco, CA","Post-IPO","The Wall Street Journal",NA,"San Francisco"
"Microsoft",NA,NA,"1/25/2024","Business","Seattle, WA","Post-IPO","The Verge","The cuts are in the Activision Blizzard and Xbox divisions. It's unclear how many U.S. workers are affected.","Seattle"
"Jamf",NA,0.06,"1/25/2024","Software","Minneapolis, MN","Post-IPO","StreetInsider",NA,"Minneapolis"
"Business Insider",NA,0.08,"1/25/2024","Media","New York City, NY","Acquired","Reuters",NA,"New York City"
"Veho",65,0.19,"1/25/2024","Logistics","Boulder, CO","Series B","The Information",NA,"Boulder"
"Aurora",NA,0.03,"1/24/2024","Auto","Pittsburgh, PA","Post-IPO","TechCrunch",NA,"Pittsburgh"
"HubSpot",20,NA,"1/24/2024","Business","Cambridge, MA","Post-IPO","LinkedIn post",NA,"Cambridge"
"Brex",282,0.2,"1/23/2024","Finance","San Francisco, CA","Series D","TechCrunch",NA,"San Francisco"
"Vroom",800,0.9,"1/23/2024","Business","Houston, TX","Post-IPO","Calcalist","The cuts will wind down the company's e-commerce operations, with its United Auto Credit Corp. and CarStory services remaining active.","Houston"
"eBay",NA,0.09,"1/23/2024","Business","San Jose, CA","Post-IPO","CNBC","This is a global cut. It's unclear how many U.S. workers are affected.","San Jose"
"Techstars",20,0.07,"1/23/2024","Business","Boulder, CO","Unknown","The Information",NA,"Boulder"
"Alphabet",NA,NA,"1/22/2024","Tech","Mountain View, CA","Post-IPO","Bloomberg","The cut is to the company's Moonshot X Lab. It's unclear how many U.S. workers are affected.","Mountain View"
"2U",NA,NA,"1/22/2024","Education","Hyattsville, MD","Post-IPO","The Report",NA,"Hyattsville"
"TikTok",60,NA,"1/22/2024","Social Related","Los Angeles, CA","Acquired","NPR","TikTok is owned by China-based ByteDance, but the layoffs affected staff in the U.S.","Los Angeles"
"Riot Games",530,0.11,"1/22/2024","Gaming","Los Angeles, CA","Acquired","Bloomberg",NA,"Los Angeles"
"Fashinza",NA,NA,"1/18/2024","Fashion","New York City, NY","Unknown","MoneyControl",NA,"New York City"
"Stitch Fix",NA,NA,"1/18/2024","Business","San Francisco, CA","Post-IPO","RetailDive",NA,"San Francisco"
"Wayfair",NA,0.19,"11/19/2023","Business","Boston, MA","Post-IPO","The Information",NA,"Boston"
"Amazon",30,NA,"1/18/2024","Business","Seattle, WA","Post-IPO","The Information","The cuts were made in the Buy With Prime division. It's unclear how many U.S. workers were affected.","Seattle"
"YouTube",100,NA,"1/17/2024","Media","San Bruno, CA","Acquired","The Information",NA,"San Bruno"
